time,open,high,low,close,volume
1502928000,301.13,312.18,298,302,7030.71034
1503014400,302,311.79,283.94,293.96,9537.84646
1503100800,293.96,299.9,278,290.91,2146.19773
1503187200,290.91,300.53,282.85,299.1,2510.13871
1503273600,299.1,346.52,294.6,323.29,5219.44542
1503360000,323.29,330.41,144.21,309.8,7956.35088
1503446400,312.25,324.99,309.41,315.74,8665.72569
1503532800,315.74,328.04,314.01,323.42,6753.27192
1503619200,323.42,338.28,323.42,327.24,7125.96962
1503705600,327.24,335.44,323.41,330.79,4877.68521
1503792000,332.18,348.13,330.73,348.13,4635.43715
1503878400,348.11,351,331.95,346,4279.1817
1503964800,346,377.6,346,374.7,3032.13425
1504051200,374.7,393.71,362.05,385.93,4446.59608
1504137600,384.64,389.36,377.78,384.79,4433.61656
1504224000,384.79,394.39,383.18,388.46,4198.68434
1504310400,388.46,394.32,320.08,343.14,8240.32724
1504396800,343.14,367.28,320.08,341.77,5253.62211
1504483200,341.77,344.55,267.94,283.77,6737.81061
1504569600,286.81,321.52,235.55,312.09,8344.41924
1504656000,313.29,336.34,312.09,335,5486.30988
1504742400,335,342.5,320.17,334.49,3103.89745
1504828800,334.49,335.1,272,302.99,4915.75693
1504915200,302.99,307,281.66,296.74,2740.58822
1505001600,296.72,302.78,261.03,293.5,4156.45099
1505088000,293.5,304.98,285.21,297.3,4829.64647
1505174400,297.3,316.46,286.01,293.96,5176.31402
1505260800,293.96,294.5,257.05,276.91,6451.22836
1505347200,276.91,283.77,215,215.21,12601.95676
1505433600,217,270.93,192,253,14223.8953
1505520000,255.99,271.81,235.51,249.31,10362.06011
1505606400,249.31,264.39,239.02,257.55,4614.53337
1505692800,257.55,306.22,257.11,294.57,4125.97051
1505779200,294.57,300,277.41,284,1869.90852
1505865600,284.01,294,275.91,282,1060.56734
1505952000,282,287,252.1,257,1912.55583
1506038400,257,272.97,253.01,264,1464.5125
1506124800,264,286.23,255.11,285.93,2824.33572
1506211200,285.93,294.61,275,282,5575.54422
1506297600,282,299,281.34,294.42,5870.48035
1506384000,294.42,296.81,286.24,287.9,4566.92804
1506470400,289.91,313,286.13,309.74,5518.10382
1506556800,309.74,311.81,296.89,302.44,6600.90922
1506643200,302.44,303,274,292.22,11089.19902
1506729600,292.62,307.49,292.22,304.36,4020.60795
1506816000,304.36,306,294,303.95,5060.05758
1506902400,303.94,305,295,296.5,3710.83747
1506988800,298.15,301.99,283.18,292.48,5546.85702
1507075200,292.47,297.97,288,291.99,4014.88792
1507161600,290,297.44,285.53,294.81,3412.39016
1507248000,294.81,310.8,293.78,310.8,3541.02359
1507334400,309.9,318.5,303.6,311.01,2165.79076
1507420800,311.08,317.07,309,311.07,2960.93198
1507507200,311.13,312.13,286.65,297.19,4885.37863
1507593600,297.35,308.56,293,298.64,6749.27468
1507680000,298.64,305.5,298.02,304.01,3724.6863
1507766400,304.01,310,302.71,303.99,7827.75596
1507852800,303.99,353.96,297,337.96,17925.36585
1507939200,337.96,349.8,335,342,7731.96469
1508025600,342,348,316.17,337.96,10011.34708
1508112000,337.96,354,332.78,335.19,8663.47097
1508198400,335.18,336.58,312.65,315.19,8146.74356
1508284800,315.19,318,284.68,309.7,12908.0454
1508371200,309.7,315,300,308.66,8678.74739
1508457600,308.66,311.18,302,304.51,8739.31764
1508544000,304.51,305.34,290,298.94,8591.63121
1508630400,298.94,306.99,290,293.79,7173.06893
1508716800,293.79,294.6,272.2,281.09,9658.78404
1508803200,282.27,310,275.5,297.38,14066.67924
1508889600,297.38,300,281,294.49,9703.09261
1508976000,294.49,299.76,291.03,294.71,7813.02717
1509062400,294.71,298.1,292.03,296.33,6272.14802
1509148800,296.33,297,290.1,291.87,5848.86589
1509235200,291.87,309.4,291.86,305,9019.13315
1509321600,305,316,302.1,307.25,8946.12026
1509408000,307.25,309.99,304.01,304.9,7640.41182
1509494400,304.89,305.9,286.34,287.01,9843.1666
1509580800,287.3,293,274.73,283.12,13423.8572
1509667200,283.12,307,282,304.08,8194.03465
1509753600,304.09,304.99,292.11,298.04,7828.41744
1509840000,298.04,302.14,293.13,295.53,6638.42119
1509926400,295.53,305.58,290.11,297.97,7515.50103
1510012800,297.97,303.52,287,291.78,9418.57881
1510099200,291.78,320,290.02,303.02,15961.85772
1510185600,303.6,329,299.5,317.87,11151.29946
1510272000,318.5,322.65,285.82,293.5,15597.16557
1510358400,293.5,318,291.91,310.02,10850.16279
1510444800,310.87,316.99,281.01,305.24,21123.15319
1510531200,304,318.88,303.7,312.99,15551.67434
1510617600,312.99,337.54,312.94,335.61,17709.2227
1510704000,335.6,339,324,331.33,15597.16131
1510790400,331.33,334.75,321.41,331.49,14145.71696
1510876800,331.49,334.6,323.84,331.23,18042.02544
1510963200,331.23,349.9,326.01,346.66,14361.4973
1511049600,346.66,373.56,343.07,354.15,19397.74898
1511136000,355.15,372.5,353.9,367.42,18277.0194
1511222400,367.42,375.5,350.02,362.12,26237.64398
1511308800,362.12,384.84,359,380.65,18121.58484
1511395200,380.63,425,370.02,405,25409.00111
1511481600,405.03,475,392.8,469,30398.35831
1511568000,467.57,484.47,450,461.82,21428.63117
1511654400,461,465,436.14,462.84,21691.11759
1511740800,462.84,486.94,453,472.31,23761.11416
1511827200,472.32,477.5,453.5,466.17,23967.24816
1511913600,466.17,515,385,421.7,51313.49571
1512000000,421.92,460,387.01,427.43,45184.22265
1512086400,428.05,465.97,413.74,457.51,33072.21995
1512172800,457.53,471.91,445,457.63,25796.14
1512259200,457.31,485.9,440.11,460.3,24490.05997
1512345600,460.3,470.98,445,466.66,23090.46989
1512432000,466.6,468.67,445.21,453.64,25419.35554
1512518400,452.88,455.1,400,411.04,38608.51155
1512604800,413,427.61,375.01,406.31,41343.30217
1512691200,406.31,456.78,390,442.54,41078.20268
1512777600,442.54,488,426.4,460,41905.98008
1512864000,460.02,460.05,403.2,429.91,34920.62841
1512950400,427.4,512,427.4,509.69,29781.26996
1513036800,509.69,639.27,494.89,619.4,59379.26709
1513123200,619.4,705.69,539.93,684.01,57711.00473
1513209600,684,747.6,630.5,679.87,60922.30235
1513296000,679.01,689,594.6,673.75,39752.26693
1513382400,674.95,712,669.22,680.33,26879.68669
1513468800,682.17,728,680.34,705.03,31380.84008
1513555200,706.35,798.88,638,784,45668.66784
1513641600,784,864.9,729.01,798,69423.62125
1513728000,798,828,661,790.21,72526.28416
1513814400,794.62,845.99,705.98,782.41,78222.53998
1513900800,784,796,504.99,635.97,154630.4948
1513987200,635.15,714.99,627.97,640.34,79001.05634
1514073600,640.33,667.64,563.49,658,95431.94156
1514160000,659.4,744,599.99,714.95,78544.84102
1514246400,713.12,750,712.56,750,60052.47905
1514332800,750,766.05,693.18,739.89,51339.2782
1514419200,739.89,744.93,645.88,707.89,72679.61288
1514505600,709.5,757.87,703,733.99,64028.12647
1514592000,732.9,735,635.82,681.06,89879.99994
1514678400,680.01,740,672.86,733.98,62628.24458
1514764800,733.01,763.55,716.8,754.99,53909.25885
1514851200,754.99,899.5,749.06,855.28,113257.7836
1514937600,855.13,950.01,810,934.03,89041.45688
1515024000,934.03,1009.72,890.01,940,102894.4738
1515110400,940,1045,930,959.3,97374.0163
1515196800,958,1017.56,950,1004.11,71954.27895
1515283200,1003.71,1125,999.9,1123.09,65278.81957
1515369600,1123.09,1239.18,910,1133.18,158831.548
1515456000,1133.18,1326.5,1104.85,1291,118702.8868
1515542400,1291,1440,1201.1,1247,160185.0129
1515628800,1249.03,1332.49,1021,1138.93,194546.2939
1515715200,1136.45,1288.5,1069.01,1253.87,93763.47261
1515801600,1253.87,1427.01,1252,1388.02,75893.43201
1515888000,1388.1,1391.89,1220.89,1347,98391.19585
1515974400,1347.99,1383.13,1258.12,1271,69236.70476
1516060800,1268.67,1275.01,780,1000,343889.3651
1516147200,999.99,1075.51,755,1000,436333.6733
1516233600,1000,1075.2,924.21,994,294545.7121
1516320000,993.3,1079,941,1032.5,167954.1125
1516406400,1032.5,1165.4,1031,1152.75,123352.5836
1516492800,1150.37,1152.69,998,1049,175031.0079
1516579200,1049,1090.15,908,993,185212.52
1516665600,993,1030,909,980,160159.6396
1516752000,981.2,1074,953.09,1061,134257.7947
1516838400,1060.34,1115,1030.26,1056.52,119415.935
1516924800,1055.29,1082,986,1051.03,145113.638
1517011200,1051.03,1127.99,1032.2,1118.99,96894.33839
1517097600,1118.99,1277,1112,1251.96,143510.7359
1517184000,1251.96,1258.89,1161.65,1177.01,105292.7681
1517270400,1177.01,1186.85,1051,1085.5,155278.554
1517356800,1084.63,1135,1029,1124.81,100372.0378
1517443200,1125.96,1164.99,981,1041.94,203355.2905
1517529600,1041.89,1047.2,783.67,922.3,377375.2287
1517616000,923.67,998,851,971,160037.8813
1517702400,971,975,789,823.56,186446.0316
1517788800,821.6,862.47,634.94,697.92,365506.883
1517875200,697.93,798,570.1,779.25,648944.4204
1517961600,779.99,849,714.18,754,356403.4441
1518048000,753.19,786.93,751,781.66,10516.2619
1518134400,781.66,882.2,781.66,876.27,95465.0979
1518220800,876.28,911.2,800,851.15,214800.6427
1518307200,851.15,857,768.28,808.99,189323.408
1518393600,808.58,877.56,807.46,866.66,143586.9312
1518480000,866.39,871,820,841.57,110305.9354
1518566400,841.57,924.99,841.3,919.09,150342.8556
1518652800,919.09,946.66,895.59,924.55,155637.7852
1518739200,924.55,948.48,901.36,938.67,115540.1635
1518825600,938.6,974,933.48,969.99,110091.0362
1518912000,969.99,978.5,897,911,160129.7952
1518998400,911,956.22,906.04,938.11,80099.49534
1519084800,939.17,961,873,882.99,120056.675
1519171200,882.99,908.88,812.87,835.89,176200.5515
1519257600,836.35,871.96,786.6,801.49,137561.8511
1519344000,801.47,885,785.99,851.6,154507.4134
1519430400,851.59,875,805,833.94,89311.5794
1519516800,833.92,849.5,813.18,841.19,59431.26474
1519603200,841.46,882,833,867.98,74911.4656
1519689600,867.98,897.49,860.69,870.11,63487.68425
1519776000,871.84,891,850.3,853.5,53620.45209
1519862400,853.5,879.96,848.65,870.63,43785.00503
1519948800,870.63,876.22,850,856.28,39436.26006
1520035200,856.27,870.78,852.3,856.02,34170.2942
1520121600,856.51,868,836.24,866.66,29439.58002
1520208000,866.61,871.75,847.2,849.84,30567.79813
1520294400,849.81,853.18,803.01,813.11,48658.06883
1520380800,813.31,826.2,718.4,749.9,109013.2838
1520467200,749.02,772.07,684,695.46,76312.77819
1520553600,695.48,727.92,640,723.71,116545.373
1520640000,723.65,745,673.06,680.58,63012.67972
1520726400,680.58,735,659.15,720.85,73967.35869
1520812800,721,740.5,676.31,697.11,67732.85988
1520899200,696.52,713.76,680,689.94,55735.18315
1520985600,690.16,703.54,585,610.1,89904.25415
1521072000,610.1,621.12,570,608.83,94426.72453
1521158400,608.83,625.3,584.15,599.05,64720.20994
1521244800,599.03,609.26,544,546.95,68022.4592
1521331200,547.98,560,450,537,248817.226
1521417600,537.39,560,515.8,556.88,184798.7706
1521504000,556.88,567.87,515,557,135424.9432
1521590400,557,590.52,545.11,559.17,117019.1732
1521676800,559.15,578.6,516,539.92,111106.1992
1521763200,539.78,544.72,506.71,543.03,106400.9183
1521849600,543.2,545.99,518.63,520.22,87710.78945
1521936000,521.17,536,512,523.74,71903.1713
1522022400,523.95,527.67,465.56,485,151057.2294
1522108800,485,491.55,446,448.5,138188.7604
1522195200,448.5,466,440.14,446.67,89895.47885
1522281600,446.07,449.43,380,384,225341.9432
1522368000,383.87,412.04,366,392.43,292254.7944
1522454400,392.4,419.4,388.52,393.92,167833.594
1522540800,393.93,399.91,356.9,378.58,150493.9942
1522627200,378.58,394.87,375,385.05,113242.1419
1522713600,385,419.08,380.13,415.01,137897.5557
1522800000,415,416.5,370,378.16,140598.3967
1522886400,378.15,387.03,365.61,381.22,120314.0588
1522972800,381.56,385.91,362.54,368.89,74458.69141
1523059200,368.89,394.75,368.28,384.51,71463.42848
1523145600,384.51,404.05,384,400.4,57395.52936
1523232000,400.4,431.99,387.1,399.44,151653.5041
1523318400,399.25,418.68,391.4,416.07,81394.29605
1523404800,415.53,433.54,410.38,429.52,86706.68627
1523491200,429.9,499,412.88,495.67,249766.3832
1523577600,494.3,530,480.22,495.11,251752.0878
1523664000,494.69,515,485.58,502.68,121283.3338
1523750400,502.68,535,502.51,533.88,108736.979
1523836800,533.88,538,497.31,511.46,130359.5255
1523923200,512.09,521.2,500.02,502.56,96541.96382
1524009600,502.56,526.99,501.12,526.09,73161.95251
1524096000,526.49,571.61,521.03,568.14,112235.7733
1524182400,568.14,622.17,556.5,617.09,160209.0395
1524268800,616.8,624.5,570.23,604.87,159364.9535
1524355200,604.87,643.49,589,620.92,120127.3728
1524441600,620.67,649.11,618.02,645.09,77475.70793
1524528000,644.58,712.99,643.76,701.58,171437.6697
1524614400,701.16,703.3,593.83,618,341439.5043
1524700800,617.73,666.19,600,661.51,155754.0082
1524787200,661.51,686.82,635.73,643.46,134803.4839
1524873600,643.41,694.9,638.76,682.86,113128.3634
1524960000,683.5,700.49,665.28,690.85,110020.2387
1525046400,690.85,695.3,662.2,670.78,112494.9172
1525132800,670.78,675.6,627.58,672,133123.6668
1525219200,671.99,691.99,663,688.56,86185.5033
1525305600,688.55,792.08,685.39,779,229419.209
1525392000,779,810,756.91,785.99,179924.4022
1525478400,785.8,832.66,781.56,819.5,128631.1876
1525564800,819.5,839.99,752.49,794.3,166871.16
1525651200,794.3,799.14,701,752.49,284237.0633
1525737600,753,777,720.02,748.99,135106.1962
1525824000,748.99,760.74,710.26,751.75,112353.3776
1525910400,752.4,769.88,720,722.52,102019.2993
1525996800,722.52,737.23,663,676.96,216953.5499
1526083200,676.96,690.2,633.2,684.11,166801.0749
1526169600,684.56,742,666.31,729.08,136022.3921
1526256000,729.08,743.9,686,727.49,183466.9224
1526342400,727.49,740,695,704.91,127191.2186
1526428800,704.91,712.84,673.52,706.29,118902.439
1526515200,706.8,719.25,662,667.62,106723.3838
1526601600,667.62,694.9,656,692.6,106541.6631
1526688000,693.26,717.8,682.31,697,88828.85641
1526774400,697,729.88,688.4,716.16,86004.7409
1526860800,716.16,720.46,688,696.7,96085.15451
1526947200,697.1,699.6,637.32,640.99,107059.5769
1527033600,640.86,669,560,577.19,257084.5811
1527120000,577.19,612.1,550,602.18,195854.625
1527206400,602.08,617.46,568.7,585.55,118076.2627
1527292800,585.56,607.62,578.32,586,77654.12532
1527379200,586.03,592,557.43,570.4,97097.26713
1527465600,570.81,576.2,506.11,511.5,153197.8328
1527552000,511.5,573.43,510,567.36,189078.4693
1527638400,567.09,585.83,541.2,557.19,122132.2701
1527724800,557.87,586.73,552.98,577.81,100101.5228
1527811200,577.81,590.26,564.93,579,83840.15431
1527897600,579,599.17,572.9,590.85,80258.14719
1527984000,590.85,628.81,590.1,619.66,84123.33235
1528070400,619.66,625.47,580.15,591.02,96339.44507
1528156800,591.02,614,570.36,609.05,89052.44417
1528243200,609.29,613.35,593.4,607.4,70152.92117
1528329600,606.68,618,598.24,605.16,60174.1888
1528416000,605.2,608.45,593.33,598.68,49228.00755
1528502400,599.29,608.97,591,592.87,38908.0653
1528588800,592.44,592.87,501.13,524.11,190350.5843
1528675200,524.64,535.51,508.66,531.69,145813.0782
1528761600,531.08,538.88,482,493,158223.1481
1528848000,493,501.97,449.06,475.47,181842.1942
