,Unnamed: 0,open,high,low,close,volume,change_in_price,down_days,up_days,RSI,low_14,high_14,k_percent,r_percent,MACD,MACD_EMA,Price_Rate_Of_Change,On_Balance_Volume,Prediction
0,2010-01-04,3289.75,3295.28,3243.32,3243.76,109447927.0,,,,,,,,,0.0,0.0,,0.0,0
1,2010-01-05,3254.468,3290.51,3221.46,3282.179,126115066.0,38.41899999999987,0.0,38.41899999999987,100.0,,,,,0.8619647435898514,0.4788693019943619,,126115066.0,1
2,2010-01-06,3277.517,3295.87,3253.04,3254.215,123651384.0,-27.963999999999945,27.963999999999945,0.0,54.352290275294415,,,,,0.2311522052641521,0.3773459016950956,,2463682.0,0
3,2010-01-07,3253.991,3268.82,3176.71,3192.776,128652827.0,-61.43900000000031,61.43900000000031,0.0,25.195655215923964,,,,,-2.2796503511881383,-0.522720579633913,,-126189145.0,0
4,2010-01-08,3177.259,3198.92,3149.02,3195.997,98377147.0,3.221000000000004,0.0,3.221000000000004,27.546759325204302,,,,,-3.4678195235837848,-1.3988209318322329,,-27811998.0,1
5,2010-01-11,3301.611,3306.75,3197.33,3212.75,136327216.0,16.753000000000156,0.0,16.753000000000156,39.04439301220935,,,,,-3.400518763598484,-1.9413923364874093,,108515218.0,1
6,2010-01-12,3205.705,3275.2,3180.09,3273.966,140655241.0,61.21599999999989,0.0,61.21599999999989,63.479277152819165,,,,,-0.5255974216902359,-1.5830924135236442,,249170459.0,1
7,2010-01-13,3204.976,3232.82,3165.49,3172.658,158344278.0,-101.308,101.308,0.0,35.95619555382905,,,,,-3.407612582282127,-2.021558920185686,,90826181.0,0
8,2010-01-14,3183.381,3219.02,3165.6,3215.55,135954504.0,42.89200000000028,0.0,42.89200000000028,47.15027275229065,,,,,-3.223477360694688,-2.299208042691397,,226780685.0,1
9,2010-01-15,3217.19,3241.82,3197.22,3224.152,120541135.0,8.601999999999862,0.0,8.601999999999862,49.204768135230985,,,,,-2.602875460620453,-2.3672471721769246,-0.0060448368559943,347321820.0,1
10,2010-01-18,3213.637,3238.24,3202.21,3237.098,135067238.0,12.945999999999913,0.0,12.945999999999913,52.41694058322621,,,,,-1.428209940250781,-2.1617911914302,-0.0137350826996334,482389058.0,1
11,2010-01-19,3242.216,3268.81,3236.84,3246.874,129943532.0,9.77599999999984,0.0,9.77599999999984,54.90183680850258,,,,,-0.0105684515119719,-1.699798765693965,-0.0022558435751787,612332590.0,1
12,2010-01-20,3252.037,3255.13,3148.33,3151.85,158243112.0,-95.02399999999987,95.02399999999987,0.0,34.623071513009066,,,,,-4.326798784034963,-2.2557632395435645,-0.0128183123401077,454089478.0,0
13,2010-01-21,3154.189,3176.15,3126.9,3158.863,114337079.0,7.01299999999992,0.0,7.01299999999992,36.61671641310492,3126.9,3306.75,17.772032249096334,-82.22796775090366,-7.09491197865691,-3.268116766331153,-0.0116189095296397,568426557.0,1
14,2010-01-22,3118.724,3147.83,3062.63,3128.588,137758538.0,-30.27499999999964,30.27499999999964,0.0,31.78816392396536,3062.63,3306.75,27.01867933803052,-72.98132066196948,-10.888528234153457,-4.847778464871535,-0.0261962493191191,430668019.0,0
15,2010-01-25,3103.32,3137.0,3092.93,3094.411,78361862.0,-34.177000000000135,34.177000000000135,0.0,27.12844102903567,3062.63,3306.75,13.018597411109276,-86.98140258889072,-15.703067635778552,-7.081716052086374,-0.054843269600234,352306157.0,0
16,2010-01-26,3094.848,3107.2,3001.96,3019.394,93507092.0,-75.01700000000028,75.01700000000028,0.0,19.783708166531326,3001.96,3306.75,5.720003937136961,-94.27999606286303,-23.82234468903744,-10.50697167930862,-0.048307759613548,258799065.0,0
17,2010-01-27,3020.54,3028.65,2972.63,2986.607,76552214.0,-32.78699999999981,32.78699999999981,0.0,17.40705232376405,2972.63,3306.75,4.183227582904306,-95.81677241709568,-31.81516588664317,-14.846789732647014,-0.0711987062866383,182246851.0,0
18,2010-01-28,2985.214,3006.04,2963.89,2994.143,73365767.0,7.536000000000058,0.0,7.536000000000058,19.957215124591784,2963.89,3306.75,8.823718135682244,-91.17628186431776,-37.08732477653166,-19.35993806347509,-0.0713393785404657,255612618.0,1
19,2010-01-29,2979.743,3024.85,2968.45,2989.292,80475875.0,-4.851000000000113,4.851000000000113,0.0,19.509794573351183,2963.89,3275.2,8.159712183996675,-91.84028781600333,-41.01949372009767,-23.74237525561366,-0.0765518992628583,175136743.0,0
20,2010-02-01,2981.374,2981.37,2912.89,2941.36,88147114.0,-47.93199999999979,47.93199999999979,0.0,15.538243909940576,2912.89,3268.81,7.998988536749901,-92.00101146325012,-46.73710498226456,-28.384133867526785,-0.0940948124257361,86989629.0,0
21,2010-02-02,2955.753,2990.75,2930.56,2934.713,82485789.0,-6.646999999999935,6.646999999999935,0.0,15.048085240965122,2912.89,3268.81,6.131434030119216,-93.86856596988078,-51.05270681723778,-32.95155004035631,-0.0688919206180496,4503840.0,0
