time,open,high,low,close,volume
1621569600,2789.91,2807.24,2679.01,2687.3,547460.821
1621584000,2687.51,2785.8,2623.98,2712.18,627087.726
1621598400,2712.17,2762.34,2374.14,2422.59,1668655.712
1621612800,2422.59,2523.37,2308.18,2351.42,1364650.228
1621627200,2351.42,2438,2097.99,2431.01,1349285.335
1621641600,2431.24,2485,2306.54,2331.5,674101.429
1621656000,2331.5,2354.45,2151.63,2249.37,1042550.014
1621670400,2249.21,2479,2246.39,2415.73,951899.311
1621684800,2415.94,2489.65,2291,2367.85,865172.858
1621699200,2368.4,2399,2251.83,2255.68,580179.163
1621713600,2255.75,2385.5,2254.39,2295.15,450989.999
1621728000,2295.46,2383.41,2251.28,2318.74,508568.721
1621742400,2318.74,2318.74,2127.2,2158.08,720775.169
1621756800,2158.23,2172.9,1984.55,2115.07,1724886.216
1621771200,2115.07,2139,1864.88,1925.2,2042482.638
1621785600,1925.21,2000,1728.85,1967.04,1961553.793
1621800000,1967.04,2149.73,1966.71,2096.63,839407.324
1621814400,2096.62,2198.64,2079,2141.55,748257.904
1621828800,2141.55,2296.25,2082.56,2289.45,766258.49
1621843200,2289.42,2376,2222.29,2366.71,948920.513
1621857600,2366.7,2529,2340,2508.87,1330094.657
1621872000,2508.57,2665,2415.51,2651.37,1069516.831
1621886400,2651.22,2675,2530,2649.27,851217.881
1621900800,2649.49,2750,2538.03,2584.01,934108.643
1621915200,2584.01,2684.2,2520.66,2660.66,685086.776
1621929600,2660.67,2675.59,2380.6,2393.88,1055122.195
1621944000,2393.61,2648.84,2381.05,2610.51,1359391.723
1621958400,2610.1,2625,2481.59,2512.26,696504.503
1621972800,2512.26,2737.32,2504.98,2706.83,592259.103
1621987200,2706.82,2846.37,2642.87,2839.5,664354.446
1622001600,2839.74,2899.49,2771.9,2890.33,600870.576
1622016000,2890.34,2913,2777,2834.37,713087.642
1622030400,2834.36,2869.43,2687.33,2747.3,919754.135
1622044800,2747.29,2795.29,2666,2741.23,740057.167
1622059200,2741.17,2887.42,2723.89,2884.27,413987.833
1622073600,2884.16,2893.03,2634,2681.03,843705.661
1622088000,2681.16,2758.58,2646.39,2736.14,552713.755
1622102400,2736.14,2845,2684,2828.05,588134.988
1622116800,2828.04,2871.27,2776.38,2806.25,604354.788
1622131200,2806.25,2817.26,2735.18,2758.88,433550.652
1622145600,2758.68,2796.84,2701.18,2742.77,419030.09
1622160000,2742.77,2763.57,2666,2716.6,409584.951
1622174400,2716.49,2716.49,2512.18,2566.73,853455.125
1622188800,2566.69,2585,2419.57,2437.11,1104949.411
1622203200,2437.11,2618.4,2422,2558.22,957434.646
1622217600,2558.19,2573.18,2455.82,2500.13,716565.565
1622232000,2500.13,2526.29,2324.48,2411.66,691077.033
1622246400,2411.65,2549.25,2394.73,2527.04,553666.721
1622260800,2527.04,2577.04,2463.72,2489.5,596797.227
1622275200,2489.34,2497.32,2375,2449.95,728684.868
1622289600,2449.95,2451.14,2284.49,2329.16,1029085.982
1622304000,2329.16,2388.9,2220.08,2248.69,960119.521
1622318400,2248.7,2323,2208.04,2277.99,599668.745
1622332800,2277.99,2310,2179.13,2296.3,695059.342
1622347200,2296.55,2464.1,2275.67,2451.39,751389.733
1622361600,2451.37,2476.83,2376,2462.35,661735.541
1622376000,2462.72,2470,2340,2382.46,671731.22
1622390400,2382.46,2464.95,2364.14,2443.1,506945.962
1622404800,2443.09,2461,2377.55,2386.11,356122.568
1622419200,2386.11,2415,2271.46,2300.29,705279.111
1622433600,2300.3,2455.5,2281,2450.37,686089.99
1622448000,2450.44,2586.73,2425.35,2552,895881.853
1622462400,2552.21,2646.62,2511,2637.94,881135.097
1622476800,2637.94,2678.78,2573.5,2627.5,605761.682
1622491200,2627.73,2721.51,2593.25,2706.33,429772.68
1622505600,2706.46,2741.45,2612.77,2631.5,603190.008
1622520000,2631.25,2718.03,2616,2652.36,495352.796
1622534400,2652.35,2672.49,2546.05,2624.15,827919.252
1622548800,2624.14,2669.08,2523.82,2567.57,1005498.99
1622563200,2567.57,2589,2527.02,2542.87,465192.295
1622577600,2542.55,2652.96,2535.04,2634.63,382831.929
1622592000,2634.61,2651.15,2551.03,2616.1,460288.487
1622606400,2616.09,2711.38,2608.56,2694.41,490149.927
1622620800,2694.4,2723.27,2661,2695.34,573434.839
1622635200,2695.33,2799,2681.04,2791.01,689334.558
1622649600,2791.01,2804.04,2742,2759.03,432223.248
1622664000,2759.03,2765,2673,2707.22,381466.762
1622678400,2707.03,2728.81,2662,2725.18,414245.003
1622692800,2725.19,2850,2722.65,2820.83,698900.5
1622707200,2820.83,2892.23,2800.41,2808.22,804074.963
1622721600,2808.26,2844.9,2762.61,2789.34,879356.687
1622736000,2789.46,2853.86,2779.03,2794.19,428990.33
1622750400,2794.2,2873.47,2790.35,2858.34,335545.752
1622764800,2858.34,2861.53,2681,2753,772058.282
1622779200,2753.01,2764.52,2588.38,2620.93,972506.593
1622793600,2620.94,2665,2585,2624.99,714861.413
1622808000,2625,2673.44,2540.61,2656.51,990563.274
1622822400,2656.54,2712.97,2649.08,2679.04,472773.96
1622836800,2679.16,2738.6,2648.47,2689.21,421063.36
1622851200,2689.41,2782.22,2673.6,2762.28,462060.062
1622865600,2762.28,2813.16,2752.41,2781.15,429698.794
1622880000,2781.12,2817.43,2622,2640.25,1016804.352
1622894400,2640.34,2664.45,2580.5,2654.06,959340.262
1622908800,2654.06,2654.96,2595.53,2601.2,454120.006
1622923200,2601.21,2646.45,2550.77,2627.45,554352.164
1622937600,2627.44,2694,2613.11,2673.41,441037.319
1622952000,2673.39,2709.19,2646.74,2688.93,413847.985
1622966400,2688.93,2744,2687.3,2690.5,549809.727
1622980800,2690.5,2733.31,2652,2719.96,620226.983
1622995200,2719.96,2737.94,2671,2673.12,337184.587
1623009600,2673.12,2719.51,2664.65,2711.4,357235.284
1623024000,2711.3,2799,2690.09,2767.46,558582.371
1623038400,2767.46,2799.06,2733.8,2764.28,444993.749
1623052800,2764.29,2838,2745,2812.61,590667.801
1623067200,2812.85,2849.65,2752,2783.12,765399.893
1623081600,2783.11,2789.75,2673.67,2729.3,760598.742
1623096000,2729.29,2740.48,2569.3,2592.96,1055013.145
1623110400,2592.51,2621.27,2425.34,2490.04,1264501.419
1623124800,2490.03,2529.12,2433.11,2513.99,1096077.807
1623139200,2514,2558,2467.61,2531.57,972122.35
1623153600,2531.57,2538.67,2305.5,2374.74,1668149.328
1623168000,2374.67,2510,2356.06,2500.04,995820.602
1623182400,2500.13,2550,2482.12,2506.19,571222.58
1623196800,2506.13,2524.76,2413.46,2454.36,758331.522
1623211200,2454.35,2541.21,2404.01,2503.1,881169.592
1623225600,2502.96,2546.39,2466.01,2534.44,847674.321
1623240000,2534.51,2579.7,2443.54,2565.75,1377381.228
1623254400,2565.75,2627.38,2547,2562.06,867053.159
1623268800,2562.19,2625.79,2547.41,2610.2,396378.466
1623283200,2610.2,2624.79,2560.1,2562.56,393940.366
1623297600,2562.6,2575.56,2512,2547.14,434460.659
1623312000,2547.13,2605,2492,2565.25,730585.673
1623326400,2565.22,2570,2495,2511.75,682696.606
1623340800,2511.7,2523.89,2446.2,2457.71,565263.738
1623355200,2457.7,2495,2423.36,2471.11,344682.273
1623369600,2471.05,2497.94,2401.07,2465.02,521608.234
1623384000,2465.01,2489.75,2414.6,2444.81,429091.183
1623398400,2444.89,2485,2437.96,2468.92,444070.04
1623412800,2468.93,2479.44,2410,2415.76,481993.575
1623427200,2415.78,2430.46,2365.55,2397.77,561072.679
1623441600,2397.7,2411.08,2320,2354.25,494506.625
1623456000,2354.25,2365.89,2255.42,2300.48,796147.086
1623470400,2300.48,2324.68,2275.48,2320.72,492538.661
1623484800,2320.72,2397.65,2298.36,2388.14,689124.69
1623499200,2388.05,2452.79,2380.51,2392.49,732522.716
1623513600,2392.39,2427.04,2381,2409.78,370279.043
1623528000,2409.78,2422.75,2362.4,2370.59,268572.59
1623542400,2370.61,2420.01,2321,2333.1,496285.988
1623556800,2333.1,2347.02,2307.41,2323.53,425681.548
1623571200,2323.56,2378.66,2319.47,2362.08,466371.763
1623585600,2362,2382.56,2327.11,2350.29,397719.615
1623600000,2350.16,2444.75,2342.87,2429.18,551136.069
1623614400,2429.17,2548,2427.73,2508.71,662706.978
1623628800,2508.56,2525.36,2465.89,2478.13,409528.925
1623643200,2478.25,2513.12,2468.91,2499.14,319344.222
1623657600,2499.17,2501,2460,2478.46,312497.05
1623672000,2478.45,2579.34,2470,2575.74,669958.828
1623686400,2575.74,2608.53,2519.9,2538.53,637703.726
1623700800,2538.54,2584,2531.42,2579.82,243615.697
1623715200,2579.8,2624.26,2565,2585.41,426475.666
1623729600,2585.42,2639.99,2579.22,2621.5,441085.42
1623744000,2621.5,2624,2561.93,2576.96,470560.344
1623758400,2577.08,2606.44,2528,2551.07,477020.93
1623772800,2551.09,2616.18,2523,2530.98,475461.449
1623787200,2530.98,2567,2506.81,2544.17,318969.177
1623801600,2544.28,2544.89,2500.02,2521.02,331531.944
1623816000,2521.02,2557.54,2511.7,2527.69,285713.619
1623830400,2527.68,2543,2458.2,2460.65,479013.691
1623844800,2460.65,2468,2405.56,2415.99,585204.162
1623859200,2415.96,2459,2372,2418.03,723058.951
1623873600,2418.03,2423.48,2350,2366.84,311233.422
1623888000,2366.84,2438.95,2357.71,2433.31,353949.37
1623902400,2433.31,2459.77,2411,2439.81,356016.785
1623916800,2439.92,2454.8,2421.82,2424.43,359922.901
1623931200,2424.42,2426.33,2362.34,2416.03,630804.237
1623945600,2416.04,2425,2304.15,2338.7,748602.566
1623960000,2338.71,2380.73,2319,2372.51,355961.911
1623974400,2372.5,2376.94,2310.64,2340.72,385044.775
1623988800,2340.72,2368.29,2322,2340.77,331100.557
1624003200,2340.77,2357.91,2277,2318.88,691863.442
1624017600,2318.9,2325.18,2210,2215,956279.766
1624032000,2215.01,2244.98,2135.04,2152.79,900142.936
1624046400,2152.79,2235,2149.02,2231.68,518937.222
1624060800,2231.68,2253.77,2166.61,2187.27,529541.496
1624075200,2187.26,2248.48,2178,2244.85,538172.354
1624089600,2244.67,2259,2217.02,2240.15,423639.897
1624104000,2239.91,2280,2218.02,2245.58,601187.264
1624118400,2245.36,2253.47,2186.84,2220.53,472207.703
1624132800,2220.63,2228.6,2160,2163.36,340285.398
1624147200,2163.36,2194.7,2140.85,2182.4,443346.904
1624161600,2182.4,2219,2178.42,2203.23,358343.993
1624176000,2203.24,2209.93,2057,2072.59,1071657.328
1624190400,2072.6,2124.91,2038.94,2109.07,1001042.348
1624204800,2109.08,2245.12,2100.57,2222.15,648824.895
1624219200,2222.19,2277,2214.88,2242.7,594227.905
1624233600,2242.7,2259.27,2155,2156.7,537166.135
1624248000,2156.7,2162.13,1968.48,2011.78,2173334.88
1624262400,2011.9,2056,1890.26,1969.02,2324215.082
1624276800,1968.68,2022.83,1912.7,1982.82,1482315.414
1624291200,1982.81,1999.95,1908.16,1942.56,961012.792
1624305600,1942.56,1956.31,1864.36,1884.77,930199.455
1624320000,1884.75,1997.8,1858,1974.69,998751.485
1624334400,1974.46,1980,1925.52,1943.6,484325.994
1624348800,1943.6,1945.35,1852.88,1866.03,1378306.346
1624363200,1866.09,1890,1698.64,1858.56,2916451.47
1624377600,1858.58,1953.77,1850,1895.26,1254646.177
1624392000,1895.26,1934.64,1846.79,1878.46,597061.893
1624406400,1878.46,2032.54,1820.3,2010.89,1071281.873
1624420800,2011.06,2044.35,1986.08,2004.78,611557.12
1624435200,2004.78,2023.9,1964.89,1990.38,611034.415
1624449600,1990.28,2040.98,1965.84,1974.5,725984.487
1624464000,1974.35,2001.1,1914.5,1915.34,602656.405
1624478400,1915.31,1973.71,1907.21,1966.51,448721.962
1624492800,1966.48,1981.32,1883.47,1904.01,587475.422
1624507200,1904,1942.9,1894.68,1919.31,437902.383
1624521600,1919.31,1969.5,1915.22,1964.99,487605.541
1624536000,1965.03,2018.71,1957,1985.21,684640.798
1624550400,1985.21,2036,1973,2011.5,540468.932
1624564800,2011.5,2019.68,1970,1989.5,331124.952
